isBuyOrder,currencyCode,amount,price,executedAt,currencyCode0
0,KRW,311.00,1458.80,"2025-02-04 07:46:12",USD
0,KRW,403.00,1460.20,"2025-02-04 08:07:00",USD
0,KRW,786.00,1459.40,"2025-02-04 08:26:10",USD
0,KRW,20000.00,940.48,"2025-02-04 08:37:05",JPY
0,KRW,845.00,1460.10,"2025-02-04 08:37:55",USD
1,JPY,15243.00,940.83,"2025-02-04 08:42:36",JPY
1,USD,845.00,1460.10,"2025-02-04 08:45:00",USD
1,JPY,4757.00,940.30,"2025-02-04 08:46:22",JPY
0,KRW,921.00,1459.30,"2025-02-04 08:56:11",USD
0,KRW,884.00,1459.10,"2025-02-04 09:01:00",USD
0,KRW,985.00,1458.40,"2025-02-04 09:02:11",USD
0,KRW,417.00,1459.00,"2025-02-04 09:03:00",USD
0,KRW,10000.00,937.67,"2025-02-04 10:14:44",JPY
0,KRW,350.00,1456.10,"2025-02-04 10:35:43",USD
1,USD,350.00,1456.50,"2025-02-04 10:43:30",USD
0,KRW,350.00,1456.40,"2025-02-04 11:33:46",USD
0,KRW,832.00,1455.10,"2025-02-04 13:56:10",USD
0,KRW,983.00,1455.70,"2025-02-04 13:57:01",USD
0,KRW,715.00,1454.80,"2025-02-04 14:01:01",USD
0,KRW,738.00,1455.79,"2025-02-04 14:02:09",USD
0,KRW,329.00,1454.40,"2025-02-04 14:06:17",USD
0,KRW,403.00,1454.40,"2025-02-04 14:10:55",USD
1,USD,403.00,1452.80,"2025-02-04 14:49:26",USD
0,KRW,403.00,1452.40,"2025-02-04 14:58:17",USD
0,KRW,20000.00,936.65,"2025-02-04 15:05:26",JPY
1,USD,403.00,1451.80,"2025-02-04 15:06:37",USD
1,JPY,20000.00,939.19,"2025-02-04 15:17:48",JPY
0,KRW,403.00,1450.90,"2025-02-04 15:48:04",USD
0,KRW,33788.00,941.20,"2025-02-04 23:36:52",JPY
0,KRW,184.00,1453.80,"2025-02-04 23:38:12",USD
1,JPY,35353.00,941.92,"2025-02-04 23:42:00",JPY
0,KRW,798.00,1452.20,"2025-02-04 23:46:09",USD
0,KRW,755.00,1453.10,"2025-02-04 23:47:00",USD
0,KRW,44.00,1452.50,"2025-02-04 23:51:01",USD
1,JPY,14446.00,942.84,"2025-02-04 23:56:09",JPY
1,JPY,10667.00,942.73,"2025-02-05 00:06:10",JPY
1,JPY,10000.00,942.33,"2025-02-05 00:07:05",JPY
0,KRW,768.00,1454.50,"2025-02-05 00:34:08",USD
0,KRW,733.00,1454.79,"2025-02-05 00:34:20",USD
0,KRW,494.00,1455.50,"2025-02-05 00:35:11",USD
1,USD,350.00,1453.80,"2025-02-05 00:36:04",USD
0,KRW,733.00,1452.70,"2025-02-05 00:41:02",USD
0,KRW,969.00,1451.90,"2025-02-05 00:46:09",USD
0,KRW,739.00,1452.50,"2025-02-05 00:47:01",USD
0,KRW,920.00,1452.90,"2025-02-05 00:51:04",USD
0,KRW,639.00,1452.59,"2025-02-05 00:52:14",USD
1,JPY,27693.00,942.64,"2025-02-05 00:57:49",JPY
1,USD,784.00,1449.70,"2025-02-05 01:21:23",USD
0,KRW,180.00,1450.50,"2025-02-05 01:22:43",USD
0,KRW,596.00,1450.50,"2025-02-05 01:24:12",USD
1,JPY,16422.00,944.57,"2025-02-05 01:26:13",JPY
1,JPY,13569.00,944.76,"2025-02-05 01:31:04",JPY
1,USD,596.00,1451.20,"2025-02-05 01:36:10",USD
0,KRW,10000.00,944.93,"2025-02-05 01:47:59",JPY
1,JPY,24358.00,945.54,"2025-02-05 01:56:11",JPY
0,KRW,877.00,1452.30,"2025-02-05 02:00:50",USD
1,JPY,32049.00,945.43,"2025-02-05 02:01:01",JPY
1,JPY,18036.00,946.26,"2025-02-05 02:06:17",JPY
1,USD,710.00,1451.00,"2025-02-05 02:10:09",USD
1,JPY,5557.00,945.49,"2025-02-05 02:11:01",JPY
1,JPY,20000.00,945.49,"2025-02-05 02:11:49",JPY
1,JPY,7906.00,945.49,"2025-02-05 02:13:07",JPY
1,JPY,2094.00,945.50,"2025-02-05 02:28:39",JPY
1,USD,167.00,1448.20,"2025-02-05 02:30:59",USD
0,KRW,816.00,1448.90,"2025-02-05 02:46:10",USD
0,KRW,20000.00,944.94,"2025-02-05 02:49:04",JPY
0,KRW,837.00,1449.40,"2025-02-05 02:50:35",USD
1,JPY,20000.00,945.29,"2025-02-05 02:57:53",JPY
1,USD,837.00,1449.80,"2025-02-05 03:01:19",USD
0,KRW,20000.00,945.34,"2025-02-05 03:03:00",JPY
1,JPY,20000.00,945.24,"2025-02-05 03:05:53",JPY
0,KRW,20000.00,946.15,"2025-02-05 03:37:02",JPY
1,JPY,12839.00,946.12,"2025-02-05 03:42:52",JPY
1,JPY,7161.00,946.00,"2025-02-05 03:44:25",JPY
0,KRW,20000.00,945.52,"2025-02-05 03:54:02",JPY
1,JPY,20000.00,945.86,"2025-02-05 04:06:22",JPY
0,KRW,879.00,1448.80,"2025-02-05 04:16:10",USD
0,KRW,582.00,1449.20,"2025-02-05 04:26:12",USD
1,USD,936.00,1448.40,"2025-02-05 04:36:37",USD
1,USD,803.00,1448.40,"2025-02-05 04:36:37",USD
1,USD,270.00,1448.30,"2025-02-05 04:37:03",USD
0,KRW,793.00,1447.90,"2025-02-05 06:11:01",USD
0,KRW,894.00,1448.39,"2025-02-05 06:12:10",USD
0,KRW,35.00,1447.40,"2025-02-05 06:16:10",USD
0,KRW,100.00,1445.40,"2025-02-05 06:21:01",USD
