,currencyCode,basePrice,createdAt
3865,JPY,939.35,2025-02-01 12:04:09
3906,USD,1457.5,2025-02-01 12:06:13
3907,JPY,939.35,2025-02-01 12:06:13
3948,USD,1457.5,2025-02-01 12:08:09
3949,JPY,939.35,2025-02-01 12:08:09
3990,USD,1457.5,2025-02-01 12:10:09
3991,JPY,939.35,2025-02-01 12:10:09
4032,USD,1457.5,2025-02-01 12:12:10
4033,JPY,939.35,2025-02-01 12:12:10
4074,USD,1457.5,2025-02-01 12:14:16
4075,JPY,939.35,2025-02-01 12:14:16
4116,USD,1457.5,2025-02-01 12:16:09
4117,JPY,939.35,2025-02-01 12:16:09
4158,USD,1457.5,2025-02-01 12:18:09
4159,JPY,939.35,2025-02-01 12:18:09
4200,USD,1457.5,2025-02-01 12:20:09
4201,JPY,939.35,2025-02-01 12:20:09
4242,USD,1457.5,2025-02-01 12:22:11
4243,JPY,939.35,2025-02-01 12:22:11
4284,USD,1457.5,2025-02-01 12:24:09
4285,JPY,939.35,2025-02-01 12:24:09
4326,USD,1457.5,2025-02-01 12:26:10
4327,JPY,939.35,2025-02-01 12:26:10
4368,USD,1457.5,2025-02-01 12:28:09
4369,JPY,939.35,2025-02-01 12:28:09
4410,USD,1457.5,2025-02-01 12:30:09
4411,JPY,939.35,2025-02-01 12:30:09
4452,USD,1457.5,2025-02-01 12:32:09
4453,JPY,939.35,2025-02-01 12:32:09
4494,USD,1457.5,2025-02-01 12:34:09
4495,JPY,939.35,2025-02-01 12:34:09
4536,USD,1457.5,2025-02-01 12:36:16
4537,JPY,939.35,2025-02-01 12:36:16
4578,USD,1457.5,2025-02-01 12:38:10
4579,JPY,939.35,2025-02-01 12:38:10
4620,USD,1457.5,2025-02-01 12:40:09
4621,JPY,939.35,2025-02-01 12:40:09
4662,USD,1457.5,2025-02-01 12:42:10
4663,JPY,939.35,2025-02-01 12:42:10
4704,USD,1457.5,2025-02-01 12:44:09
4705,JPY,939.35,2025-02-01 12:44:09
4746,USD,1457.5,2025-02-01 12:46:09
4747,JPY,939.35,2025-02-01 12:46:09
4788,USD,1457.5,2025-02-01 12:48:09
4789,JPY,939.35,2025-02-01 12:48:09
4830,USD,1457.5,2025-02-01 12:50:09
4831,JPY,939.35,2025-02-01 12:50:09
4872,USD,1458.3,2025-02-01 12:52:09
4873,JPY,939.6,2025-02-01 12:52:09
4914,USD,1458.3,2025-02-01 12:54:09
4915,JPY,939.6,2025-02-01 12:54:09
4956,USD,1458.3,2025-02-01 12:56:11
4957,JPY,939.6,2025-02-01 12:56:11
4998,USD,1458.3,2025-02-01 12:58:08
4999,JPY,939.6,2025-02-01 12:58:08
5040,USD,1458.3,2025-02-01 13:00:09
5041,JPY,939.6,2025-02-01 13:00:09
5082,USD,1458.3,2025-02-01 13:02:09
5083,JPY,939.6,2025-02-01 13:02:09
5124,USD,1458.3,2025-02-01 13:04:09
5125,JPY,939.6,2025-02-01 13:04:09
5166,USD,1458.3,2025-02-01 13:06:09
5167,JPY,939.6,2025-02-01 13:06:09
5208,USD,1458.3,2025-02-01 13:08:10
5209,JPY,939.6,2025-02-01 13:08:10
5250,USD,1458.3,2025-02-01 13:10:13
5251,JPY,939.6,2025-02-01 13:10:13
