2025-02-24 15:13:05,661 - INFO - 매수 거래량: 0.0, 매도 거래량: 11797.0
2025-02-24 15:13:05,661 - INFO - 매수 수익: 0.0, 매도 수익: 106173.0
2025-02-24 15:13:05,931 - INFO - 조건: (date_window: 2, adjustment: 10.0)
2025-02-24 15:13:05,931 - INFO - 매수 거래량: 0.0, 매도 거래량: 11028.0
2025-02-24 15:13:05,932 - INFO - 매수 수익: 0.0, 매도 수익: 110280.0
2025-02-24 15:13:07,017 - INFO - 조건: (date_window: 3, adjustment: 1.0)
2025-02-24 15:13:07,018 - INFO - 매수 거래량: 26013.0, 매도 거래량: 21404.0
2025-02-24 15:13:07,018 - INFO - 매수 수익: 26013.0, 매도 수익: 21404.0
2025-02-24 15:13:07,979 - INFO - 조건: (date_window: 3, adjustment: 2.0)
2025-02-24 15:13:07,979 - INFO - 매수 거래량: 25513.0, 매도 거래량: 21404.0
2025-02-24 15:13:07,979 - INFO - 매수 수익: 51026.0, 매도 수익: 42808.0
2025-02-24 15:13:08,785 - INFO - 조건: (date_window: 3, adjustment: 3.0)
2025-02-24 15:13:08,785 - INFO - 매수 거래량: 20869.0, 매도 거래량: 21404.0
2025-02-24 15:13:08,785 - INFO - 매수 수익: 62607.0, 매도 수익: 64212.0
2025-02-24 15:13:09,482 - INFO - 조건: (date_window: 3, adjustment: 4.0)
2025-02-24 15:13:09,483 - INFO - 매수 거래량: 17027.0, 매도 거래량: 21404.0
2025-02-24 15:13:09,483 - INFO - 매수 수익: 68108.0, 매도 수익: 85616.0
2025-02-24 15:13:10,079 - INFO - 조건: (date_window: 3, adjustment: 5.0)
2025-02-24 15:13:10,080 - INFO - 매수 거래량: 12390.0, 매도 거래량: 20662.0
2025-02-24 15:13:10,080 - INFO - 매수 수익: 61950.0, 매도 수익: 103310.0
2025-02-24 15:13:10,599 - INFO - 조건: (date_window: 3, adjustment: 6.0)
2025-02-24 15:13:10,599 - INFO - 매수 거래량: 4890.0, 매도 거래량: 18592.0
2025-02-24 15:13:10,600 - INFO - 매수 수익: 29340.0, 매도 수익: 111552.0
2025-02-24 15:13:11,092 - INFO - 조건: (date_window: 3, adjustment: 7.0)
2025-02-24 15:13:11,092 - INFO - 매수 거래량: 1570.0, 매도 거래량: 18592.0
2025-02-24 15:13:11,092 - INFO - 매수 수익: 10990.0, 매도 수익: 130144.0
2025-02-24 15:13:11,517 - INFO - 조건: (date_window: 3, adjustment: 8.0)
2025-02-24 15:13:11,517 - INFO - 매수 거래량: 1433.0, 매도 거래량: 16040.0
2025-02-24 15:13:11,517 - INFO - 매수 수익: 11464.0, 매도 수익: 128320.0
2025-02-24 15:13:11,921 - INFO - 조건: (date_window: 3, adjustment: 9.0)
2025-02-24 15:13:11,921 - INFO - 매수 거래량: 0.0, 매도 거래량: 13192.0
2025-02-24 15:13:11,921 - INFO - 매수 수익: 0.0, 매도 수익: 118728.0
2025-02-24 15:13:12,275 - INFO - 조건: (date_window: 3, adjustment: 10.0)
2025-02-24 15:13:12,275 - INFO - 매수 거래량: 0.0, 매도 거래량: 13192.0
